id,Screen,en,es,de,it,Arabic,fr
payments.getAccess,Payments,Get unlimited access to all current (and future) features,Obtén acceso ilimitado a todas las funciones actuales (y futuras),Erhalte unbegrenzten Zugang zu allen aktuellen (und zukünftigen) Funktionen,Ottieni accesso illimitato a tutte le funzioni attuali (e future),احصل على وصول غير محدود لجميع الميزات الحالية (والمستقبلية),Obtenez un accès illimité à toutes les fonctionnalités actuelles (et futures)
payments.byTappingYouAgree,Payments,"By tapping „Start 3-day free trial“, you agree to our Terms of Use","Al tocar ""Iniciar prueba gratuita de 3 días"", aceptas nuestros Términos de Uso","Indem du auf „3-Tage-Gratis-Test starten“ tippst, stimmst du unseren Nutzungsbedingungen zu","Toccando ""Inizia la prova gratuita di 3 giorni"", accetti i nostri Termini di Utilizzo","بالنقر فوق ""ابدأ التجربة المجانية لمدة 3 أيام""، فإنك توافق على شروط الاستخدام الخاصة بنا","En appuyant sur « Démarrer l'essai gratuit de 3 jours », vous acceptez nos conditions d'utilisation"
payments.start,Payments,Start 3-days free trial,Iniciar prueba gratuita de 3 días,3-Tage-Gratis-Test starten,Inizia la prova gratuita di 3 giorni,ابدأ التجربة المجانية لمدة 3 أيام,Démarrer l'essai gratuit de 3 jours
payments.monthly,Payments,Monthly,Mensual,Monatlich,Mensile,شهريًا,Mensuel
payments.month,Payments,Month,Mes,Monat,Mese,شهر,Mois
payments.weekly,Payments,Weekly,Semanal,Wöchentlich,Settimanale,أسبوعيًا,Hebdomadaire
payments.week,Payments,Week,Semana,Woche,Settimana,أسبوع,Semaine
chat.noAnswer,Chat,No answer here :(,No hay respuesta aquí :(,Keine Antwort hier :(,Nessuna risposta qui :(,لا يوجد إجابة هنا :(,Pas de réponse ici :(
chat.tryAgain,Chat,Try again,Inténtalo de nuevo,Versuche es erneut,Prova ancora,حاول مرة أخرى,Réessayez
chat.typeYourQuestion,Chat,Type your question,Escribe tu pregunta,Gib deine Frage ein,Digita la tua domanda,اكتب سؤالك,Tapez votre question
chat.isTyping,Chat,%@ is typing,%@ está escribiendo,%@ tippt,%@ sta scrivendo,جو يكتب...,%@ est en train d'écrire
chat.ask,Chat,ask %@,preguntar %@,fragen %@,chiedere %@,,demander %@
chat.copy,Chat,Copy,Copiar,Kopieren,Copia,,Copier
chat.share,Chat,Share,Compartir,Teilen,Condividi,,Partager
chat.aFewExamples,Chat,A few examples of interesting things you can ask %@ about,Algunos ejemplos de cosas interesantes que puedes preguntar a %@ sobre,"Ein paar Beispiele für interessante Dinge, über die du %@ fragen kannst",Alcuni esempi di cose interessanti che puoi chiedere a %@,,Quelques exemples de choses intéressantes que vous pouvez demander à %@
prompts.explainPhysics,Prompts,Explain quantum physics,Explica la física cuántica,Erkläre Quantenphysik,Spiega la fisica quantistica,شرح الفيزياء الكمومية,Expliquer la physique quantique
prompts.explainTimeDog,Prompts,Explain the concept of time like I am a dog,Explícame el concepto del tiempo como si fuera un perro,"Erkläre das Konzept der Zeit, als wäre ich ein Hund",Spiega il concetto di tempo come se fossi un cane,شرح مفهوم الزمن كما لو كنت كلبًا,Expliquez le concept du temps comme si j'étais un chien
prompts.explainTime3yearsOld,Prompts,Explain the concept of time like I am three years old,Explícame el concepto del tiempo como si tuviera tres años,"Erkläre das Konzept der Zeit, als wäre ich drei Jahre alt",Spiega il concetto di tempo come se avessi tre anni,شرح مفهوم الزمن كما لو كنت في الثالثة من عمري,Expliquez le concept du temps comme si j'avais trois ans
prompts.describePotato,Prompts,"Use florid, baroque language to describe a potato",Usa lenguaje florido y barroco para describir una patata,"Verwende blumige, barocke Sprache, um eine Kartoffel zu beschreiben",Usa un linguaggio florido e barocco per descrivere una patata,استخدم لغة زهرية وباروكية لوصف البطاطس,Utilisez un langage fleuri et baroque pour décrire une pomme de terre
prompts.writeAPoemRabbit,Prompts,Write a short poem about a rabbit,Escribe un breve poema sobre un conejo,Schreibe ein kurzes Gedicht über ein Kaninchen,Scrivi una breve poesia su un coniglio,اكتب قصيدة قصيرة عن أرنب,Écrivez un court poème sur un lapin
prompts.writeNewsPotato,Prompts,Write a breaking news article about a potato,Escribe un artículo de noticias de última hora sobre una patata,Schreibe einen Eilmeldungsartikel über eine Kartoffel,Scrivi un articolo di notizie di ultima ora su una patata,اكتب مقالة عاجلة عن البطاطس,Écrire un article d'actualité sur une pomme de terre
prompts.writeBirthdayCongrats,Prompts,Write a birthday congrats to my grandma's 90 birthday in ultra gen z style,Felicita a mi abuela por su cumpleaños 90 en estilo ultra gen z,Gratuliere meiner Großmutter zum 90. Geburtstag im ultra Gen-Z-Stil,Auguri di buon compleanno per i 90 anni di mia nonna in stile ultra gen z,اكتب ته,Écrire des félicitations d'anniversaire pour les 90 ans de ma grand-mère dans un style ultra génération Z
prompts.writeWuTang,Prompts,Write a invitation to party in wu tang style,Escribe una invitación a una fiesta al estilo Wu Tang,Schreibe eine Partyeinladung im Wu-Tang-Stil,Scrivi un invito a una festa in stile Wu Tang,,Écrire une invitation à une fête dans le style Wu Tang
prompts.tellMeSolar,Prompts,Tell me about solar system,Cuéntame sobre el sistema solar,Erzähl mir über das Sonnensystem,Dimmi del sistema solare,,Parlez-moi du système solaire
prompts.offerSpanish,Prompts,How to say 'I will make him an offer you can't refuse' in Spanish,Cómo decir 'Le haré una oferta que no podrá rechazar' en español,"Wie sagt man 'Ich werde ihm ein Angebot machen, das er nicht ablehnen kann' auf Spanisch",Come dire 'Gli farò un'offerta che non potrà rifiutare' in spagnolo,,Comment dire 'Je lui ferai une offre qu'il ne pourra pas refuser' en espagnol
prompts.offerKlingon,Prompts,How to say 'I will make him an offer you can't refuse' in Klingon,Cómo decir 'Le haré una oferta que no podrá rechazar' en klingon,"Wie sagt man 'Ich werde ihm ein Angebot machen, das er nicht ablehnen kann' auf Klingonisch",Come dire 'Gli farò un'offerta che non potrà rifiutare' in klingon,,Comment dire 'Je lui ferai une offre qu'il ne pourra pas refuser' en Klingon
prompts.offerMadeUp,Prompts,How to say 'I will make him an offer you can't refuse' in made-up language,Cómo decir 'Le haré una oferta que no podrá rechazar' en un idioma inventado,"Wie sagt man 'Ich werde ihm ein Angebot machen, das er nicht ablehnen kann' in einer erfundenen Sprache",Come dire 'Gli farò un'offerta che non potrà rifiutare' in una lingua inventata,,Comment dire 'Je lui ferai une offre qu'il ne pourra pas refuser' dans une langue inventée
prompts.askRaiseGenZ,Prompts,Ask for a raise in ultra gen z style,Pedir un aumento en estilo ultra gen z,Frag im ultra Gen-Z-Stil nach einer Gehaltserhöhung,Chiedi un aumento in stile ultra gen z,,Demander une augmentation de salaire dans un style ultra génération Z
prompts.sellMePen,Prompts,Sell me this pen,Véndeme este bolígrafo,Verkaufe mir diesen Stift,Vendimi questa penna,,Vendez-moi ce stylo
images.aiArtGenerator,Images,AI Art Generator,Generador de arte con IA,AI-Kunstgenerator,Generatore d'arte con intelligenza artificiale,,Générateur d'art IA
images.doItForMe,Images,Do it for me,Hazlo por mí,Mach es für mich,Fallo per me,,Faites-le pour moi
images.typeYourRequest,Images,Type your request,Escribe tu solicitud,Gib deine Anfrage ein,Digita la tua richiesta,,Tapez votre demande
images.itMayTakeTime,Images,"It may take some time to create, don't close this screen","Puede tomar algún tiempo crearlo, no cierres esta pantalla","Es kann einige Zeit dauern, um es zu erstellen. Schließe diesen Bildschirm nicht.","Potrebbe richiedere del tempo per crearlo, non chiudere questa schermata",,"La création peut prendre un certain temps, ne fermez pas cet écran"
images.save,Images,Save,Guardar,Speichern,Salva,,Enregistrer
images.share,Images,Share,Compartir,Teilen,Condividi,,Partager
images.somethingWentWrong,Images,Something went wrong,Algo salió mal,Etwas ist schiefgegangen,Qualcosa è andato storto,,Une erreur s'est produite
images.tryAgain,Images,Try again,Inténtalo de nuevo,Versuche es erneut,Riprova,,Réessayez
